X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,QualityOfLife,CODE_DEFINED,LAT,LONG,ObjectId
-8477792.88945808,5313631.15393955,2024/02/17 00:00:00+00,1151,1151,100 WENTE TER    ,False,CRIMINAL MISCHIEF,43.0109004510001,-76.157309282,38
-8476050.70102195,5314001.1740992,2024/02/17 00:00:00+00,1040,1040,100 E  MATSON AVE    ,False,CRIMINAL MISCHIEF,43.013330953,-76.141658937,39
-8475991.7643647,5318284.00310549,2024/04/10 00:00:00+00,419,419,100 FRISBIE CT     ,False,SIMPLE ASSAULT,43.041456,-76.1411295,40
-8477092.49160098,5321436.74533155,2024/02/17 00:00:00+00,1850,1850,100 MARY ST     ,False,OFFN AGAINST FAMILY,43.0621516090001,-76.151017501,41
-8479810.97946729,5316814.87140014,2024/02/17 00:00:00+00,1837,1837,1600 S  GEDDES ST     ,True,CRIMINAL MISCHIEF,43.0318097640001,-76.175438093,42
-8476135.62821994,5315636.21770883,2024/02/17 00:00:00+00,2311,2311,200 MCKINLEY AVE    ,False,SIMPLE ASSAULT,43.024069694,-76.1424218509999,43
-8476213.71973329,5313029.47872181,2024/02/17 00:00:00+00,1437,1437,4300 S  SALINA ST     ,False,SIMPLE ASSAULT,43.0069481020001,-76.143123359,44
-8479913.87452166,5319931.42458241,2024/02/18 00:00:00+00,106,106,900 PARK AVE    ,False,SIMPLE ASSAULT,43.052271073,-76.176362415,45
-8476088.72052423,5324265.21363652,2024/02/18 00:00:00+00,55,55,2000 COURT ST     ,False,SIMPLE ASSAULT,43.080712637,-76.1420004719999,46
-8477451.69911498,5315377.3774509,2024/02/18 00:00:00+00,238,238,200 CREHANGE ST     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.0223697920001,-76.154244317,47
-8476545.80147037,5314791.81379106,2024/04/10 00:00:00+00,1314,1314,200 W  CORNING AVE    ,True,POSSESSION/USE DANGEROUS WEAPONS,43.0185240000001,-76.1461065,48
-8477360.96649422,5319958.27101767,2024/02/18 00:00:00+00,221,221,300 N  CLINTON ST     ,True,DISORDERLY CONDUCT,43.0524473,-76.153429252,49
-8475637.33913602,5311401.34902136,2024/02/18 00:00:00+00,1209,1209,200 SUNRISE DR     ,False,CRIMINAL MISCHIEF,42.9962517930001,-76.137945644,50
-8476866.76383748,5314870.45820795,2024/02/18 00:00:00+00,430,440,300 W  LAFAYETTE AVE    ,False,SIMPLE ASSAULT,43.019040525,-76.148989754,51
-8474195.71098731,5319818.39487813,2024/02/18 00:00:00+00,1212,1212,1000 CANAL ST     ,True,CRIMINAL MISCHIEF,43.051529111,-76.124995278,52
-8476473.16550263,5316681.65535956,2024/04/10 00:00:00+00,1440,1440,200 W  KENNEDY ST     ,False,OFFN AGAINST FAMILY,43.0309350000001,-76.145454,53
-8471997.47565178,5322457.84258872,2024/02/18 00:00:00+00,1257,1257,3000 JAMES ST     ,False,SIMPLE ASSAULT,43.068852921,-76.105248194,54
